	DESDD	DDM	LEV
Line	0.9702889840005764	0.9653110291322379	0.9623791692020228
Sine1	0.9328931555886437	0.8931674529779415	0.850672520813374
Gauss	0.8697544454038487	0.8076790617900406	0.765515779742111
Circle	0.9577125487507748	0.9592744519731737	0.9404885103813102
Spam	0.9625841893790652	0.908923820601494	0.9431130775068539
Elec	0.9024652544225469	0.8598676934488636	0.9033185509786901
KDD	0.9996689999962617	0.9995919567568204	0.9996586730881822
