	DESDD	DDM	LEV
Line	0.9670287283045875	0.9618841232696047	0.9592884939653651
Sine1	0.9308556999129293	0.8914717493192836	0.8475020033981611
Gauss	0.8684963034424643	0.8074481326696071	0.7654307347545408
Circle	0.9556326474772686	0.9581568273812083	0.939189451845776
Spam	0.9629497836595189	0.9100058547028996	0.9434692911718786
Elec	0.9025035033312445	0.8597169354645717	0.9025032388600961
KDD	0.9996368101093882	0.9995637523522408	0.9996299861722112
